trial_id,num_layers,units_0,dropout_0,activation,learning_rate,val_loss,val_mae,best_num_layers,best_units_0,best_dropout_0,best_activation,best_learning_rate,best_val_loss,best_val_mae,units_1,dropout_1,units_2,dropout_2
0076,1,32,0.2,relu,0.01,0.002406863495707512,"MetricObservation(value=[0.053405486047267914], step=7)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0085,1,32,0.2,sigmoid,0.005,0.002431404311209917,"MetricObservation(value=[0.04070642217993736], step=25)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0050,1,32,0.1,sigmoid,0.01,0.0024320560041815042,"MetricObservation(value=[0.04028547555208206], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0088,1,96,0.1,relu,0.001,0.0024567358195781708,"MetricObservation(value=[0.04272674769163132], step=29)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0082,1,32,0.2,relu,0.01,0.00245724618434906,"MetricObservation(value=[0.054802313446998596], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0074,1,96,0.30000000000000004,relu,0.01,0.002471683081239462,"MetricObservation(value=[0.05018777400255203], step=9)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0084,1,64,0.2,sigmoid,0.005,0.0024871237110346556,"MetricObservation(value=[0.04271405190229416], step=14)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0072,1,64,0.4,tanh,0.01,0.0024973906110972166,"MetricObservation(value=[0.043348703533411026], step=14)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0051,1,64,0.2,relu,0.01,0.002502844436094165,"MetricObservation(value=[0.0448165237903595], step=17)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0089,2,128,0.30000000000000004,tanh,0.005,0.0025036979932338,"MetricObservation(value=[0.04855600371956825], step=29)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,32.0,0.4,,
0083,1,96,0.30000000000000004,relu,0.01,0.0025132803712040186,"MetricObservation(value=[0.04845202714204788], step=7)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0067,1,64,0.4,tanh,0.01,0.002584195462986827,"MetricObservation(value=[0.049525536596775055], step=5)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0040,1,64,0.2,relu,0.01,0.002601043554022908,"MetricObservation(value=[0.057426709681749344], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0048,1,32,0.1,sigmoid,0.01,0.0026040414813905954,"MetricObservation(value=[0.04411228746175766], step=2)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0046,1,64,0.2,relu,0.01,0.002627007896080613,"MetricObservation(value=[0.049731891602277756], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0056,1,64,0.4,tanh,0.01,0.002721671247854829,"MetricObservation(value=[0.050875093787908554], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0081,1,64,0.2,sigmoid,0.005,0.002778070978820324,"MetricObservation(value=[0.04497490078210831], step=5)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0049,1,128,0.30000000000000004,tanh,0.001,0.002804776653647423,"MetricObservation(value=[0.04811949282884598], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0030,2,128,0.4,tanh,0.01,0.002824030350893736,"MetricObservation(value=[0.05269522964954376], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,32.0,0.1,,
0073,3,96,0.30000000000000004,tanh,0.01,0.0028303731232881546,"MetricObservation(value=[0.057329241186380386], step=4)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.4,32.0,0.5
0047,2,128,0.4,tanh,0.01,0.0028350113425403833,"MetricObservation(value=[0.04635324329137802], step=5)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,32.0,0.1,,
0069,3,96,0.30000000000000004,tanh,0.01,0.002878041472285986,"MetricObservation(value=[0.061495862901210785], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.4,32.0,0.5
0034,2,128,0.4,tanh,0.01,0.002881505060940981,"MetricObservation(value=[0.054263826459646225], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,32.0,0.1,,
0045,1,32,0.1,sigmoid,0.01,0.0029236224945634604,"MetricObservation(value=[0.04981144890189171], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0080,1,64,0.5,tanh,0.001,0.003074104432016611,"MetricObservation(value=[0.05534369871020317], step=9)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0071,3,128,0.5,tanh,0.001,0.003177555510774255,"MetricObservation(value=[0.051366668194532394], step=4)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,96.0,0.2,96.0,0.2
0036,1,128,0.30000000000000004,tanh,0.001,0.0031989587005227804,"MetricObservation(value=[0.0518798790872097], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0086,2,32,0.30000000000000004,relu,0.0001,0.0032030139118433,"MetricObservation(value=[0.07032308727502823], step=25)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,128.0,0.5,,
0087,3,32,0.4,relu,0.001,0.003299425123259425,"MetricObservation(value=[0.08293230086565018], step=26)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.4,32.0,0.5
0070,3,32,0.4,relu,0.0005,0.003311426844447851,"MetricObservation(value=[0.09960410743951797], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.4,32.0,0.5
0068,3,64,0.5,tanh,0.01,0.0033283873926848173,"MetricObservation(value=[0.05706735700368881], step=5)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,96.0,0.5,96.0,0.4
